gene
"GNPDA1"
"TRAPPC3L"
"MKRN2OS"
"LRRC70"
"SYCE1L"
"TSTD1"
"PDCD6IP"
"HCN4"
"ANKRD66"
"TTC34"
"KRTAP21-3"
"ZNF783"
"CDH4"
"KLRF2"
"KRTAP16-1"
"TMEM35B"
"MICA"
"TGFBR3L"
"SLC17A4"
"TSSC4"
"ATP9A"
"CDH10"
"TCP11X2"
"PPIF"
"RAD50"
"TRIM28"
"WASF2"
"RBM5"
"TNK2"
"MEI4"
"TSHZ1"
"OLIG2"
"KLRG1"
"MFSD10"
"CNKSR1"
"IRX5"
"RGS19"
"EIF1B"
"CCNO"
"PCGF3"
"ABCA7"
"ABCA10"
"MYL12B"
"CDSN"
"CDX1"
"PPIH"
"CLGN"
"CARM1"
"FBLN5"
"CIB2"
"CEBPB"
"ZNF211"
"UBD"
"ARFGEF1"
"SLC34A2"
"SIVA1"
"TACC2"
"POMT1"
"CENPB"
"RBCK1"
"RAD51AP1"
"CD226"
"CSPG5"
"CETN2"
"CETN3"
"FAM189B"
"CFL1"
"CHL1"
"SLC17A3"
"ZNF460"
"CFTR"
"CPLX2"
"PDE10A"
"LILRB1"
"CD300C"
"GPR83"
"LYVE1"
"FASTK"
"MSL3"
"RAB40B"
"LILRB4"
"GLIPR1"
"RBPMS"
"GTF2A1L"
"TENT4A"
"CHD2"
"RER1"
"KERA"
"ADAM29"
"ADAMTS8"
"BTN3A2"
"CD160"
"FOXN3"
"BVES"
"FSTL1"
"PSIP1"
"FAM107A"
"CELF3"
"ABCB8"
"ADCY5"
"PRRT2"
"SLC6A14"
"SNX18"
"SP140"
"LYST"
"C12orf57"
"HENMT1"
"CHRNB2"
"CARD16"
"C1QTNF5"
"TMEM123"
"WDR31"
"GPR146"
"NOSTRIN"
"ALPK2"
"IQCD"
"RAB3C"
"TM4SF19"
"PANX3"
"OLIG1"
"NIBAN1"
"MRGPRF"
"ADCYAP1"
"GALNT15"
"PARD3B"
"CLCN3"
"CLCN5"
"CLIC1"
"TPP1"
"PIH1D2"
"RHEBL1"
"CLTB"
"BTBD11"
"CCR6"
"SPATA2L"
"SPATA33"
"METTL23"
"SPATA32"
"LYPLAL1"
"TYW3"
"ZNF684"
"DCST2"
"EDARADD"
"TSACC"
"WFDC12"
"COL4A6"
"COL6A1"
"COL6A2"
"MBOAT2"
"CNTNAP5"
"CCDC173"
"SERPINA3"
"ACMSD"
"CIB4"
"PLEKHH2"
"OSR1"
"MDH1B"
"CPNE4"
"FAM3D"
"CD200R1"
"IQCF1"
"PACRGL"
"SLCO6A1"
"PRRC1"
"ZNF474"
"COX6A2"
"UBE2QL1"
"CMBL"
"AFAP1L1"
"POC5"
"CLVS2"
"SDHAF4"
"ADORA2A"
"CPB1"
"PRSS37"
"SVOPL"
"CLDN23"
"CPN2"
"CPS1"
"CPT1A"
"CRAT"
"SPANXN3"
"PASD1"
"DCAF12L1"
"ADGRG4"
"MAGEB10"
"RNF113B"
"RNF32"
"ZFP28"
"C20orf96"
"NOL4L"
"CTCFL"
"MACROD2"
"UBE2F"
"SRXN1"
"C20orf173"
"SLC34A3"
"CRYGS"
"FGFBP3"
"PIWIL4"
"CSF2"
"LAYN"
"SPINDOC"
"PLEKHA7"
"AMDHD1"
"SLC2A14"
"ZNF664"
"SLC38A6"
"TERB2"
"C15orf65"
"HAPLN3"
"VCAN"
"RUNDC1"
"NOTUM"
"TMC8"
"SLC25A52"
"CSTA"
"TMEM190"
"ZNF524"
"ZNF582"
"LGALS16"
"CDC42EP5"
"C19orf25"
"ZNF570"
"BROX"
"UBE2U"
"B3GALNT2"
"CCDC27"
"DCDC2B"
"PDIK1L"
"CLDN19"
"SPATA45"
"AIFM3"
"YDJC"
"TTL"
"CTSB"
"KLHL23"
"SLC23A3"
"CTSH"
"UPP2"
"CTSO"
"SPICE1"
"FGD5"
"IGSF11"
"JAKMIP1"
"ODAPH"
"C4orf45"
"SLC38A9"
"MBLAC2"
"TMEM161B"
"ARSK"
"FAM81B"
"CCDC112"
"PNLDC1"
"VKORC1L1"
"GIMAP8"
"CRYGN"
"ZNF425"
"ATP6V0E2"
"AMZ1"
"CYP3A7"
"CYP2E1"
"ANKRD46"
"ESCO2"
"FBXO16"
"LRATD2"
"SLC7A13"
"CYP3A5"
"CLVS1"
"CYP11A1"
"CYP17A1"
"ARHGAP36"
"AKAP14"
"RHOXF1"
"TCEAL6"
"SLC5A12"
"AANAT"
"CLECL1"
"DENND5B"
"DAG1"
"SLC5A8"
"DGKB"
"CCDC122"
"DAO"
"TMEM229B"
"CFAP161"
"EXD1"
"AP2A2"
"ZNF600"
"ZNF579"
"DCC"
"ZNF780B"
"DCK"
"APCDD1L"
"TMPRSS6"
"GADD45A"
"ADGRF3"
"ZBTB49"
"DEFA4"
"LCA5"
"TXLNB"
"GIMAP7"
"KCNV2"
"QSOX2"
"ADAMTS17"
"DGUOK"
"DIAPH2"
"AGA"
"DRD5"
"DSCAM"
"JAG1"
"DTNA"
"DVL1"
"EDN3"
"EDNRB"
"EFNB1"
"MEGF9"
"ZNF367"
"DTX3"
"METTL21C"
"UBR1"
"PATL2"
"FCSK"
"SERPINB1"
"THAP8"
"ELF1"
"ELF5"
"ELK3"
"EML1"
"CENPX"
"ZBTB7C"
"PRIMPOL"
"GAPT"
"ENO2"
"C7orf33"
"TMEM184A"
"PRSS55"
"C8orf74"
"AK1"
"STOM"
"EPHB4"
"DIPK2A"
"EPS8"
"LVRN"
"SLC36A1"
"ERBB4"
"EYA4"
"ERCC5"
"ERCC6"
"ESD"
"EVC"
"F2RL1"
"FABP2"
"FANCC"
"FANCD2"
"GSX1"
"ZNF804B"
"VWCE"
"LRTOMT"
"DLEU7"
"OAF"
"FCAR"
"ALDH1A3"
"JMJD1C"
"LRRN4CL"
"MICU2"
"AK9"
"ADGRF4"
"LRRC73"
"FGD2"
"LEMD2"
"FOXK1"
"CDHR3"
"FAM217A"
"FERD3L"
"NYAP1"
"ITPRID1"
"FGF4"
"FGF5"
"FGF8"
"FGF9"
"FGF12"
"FGF13"
"COBLL1"
"ADNP2"
"ATG14"
"FKBP3"
"ZHX2"
"UBOX5"
"KHDC4"
"ARSG"
"TTC39A"
"IGSF9B"
"RIMS1"
"FNBP1"
"FOXE1"
"ENDOD1"
"FOXD2"
"AVL9"
"ERC1"
"ZNF423"
"TTLL5"
"MCF2L2"
"RAP1GAP2"
"TOGARAM1"
"HIC2"
"ATP10B"
"SNX13"
"LPIN1"
"RCOR1"
"KANK1"
"NBEAL2"
"NUP210"
"EXOC6B"
"PHLPP1"
"ACSL6"
"FKBP15"
"KIAA0930"
"TRIM2"
"WASHC4"
"VPS8"
"AHCYL2"
"SIRT3"
"SIRT1"
"TDRD7"
"HEY1"
"HAAO"
"KAT6B"
"FOS"
"HYAL4"
"PIGN"
"CLDN14"
"KLHDC2"
"ACOT9"
"CLEC5A"
"ZMYND8"
"NTSR2"
"CBLC"
"LY96"
"PRKD3"
"GABARAPL1"
"MAFF"
"PANX1"
"ALOX5AP"
"DEFB110"
"STAC3"
"STH"
"FUT4"
"NEIL2"
"TECRL"
"FUT8"
"GPATCH11"
"EBF3"
"CERS6"
"ANGPTL5"
"UBN2"
"CALHM5"
"LCORL"
"TMEM86B"
"H2BC1"
"TMEM196"
"GABRB2"
"NUDT14"
"SERPINA11"
"MFSD8"
"GLIPR1L1"
"MAP7D2"
"C10orf67"
"PLCXD2"
"UTS2B"
"SLC24A2"
"GCA"
"VAX2"
"TAFA5"
"KLK5"
"PARM1"
"ZNF345"
"WHRN"
"SUMF2"
"GALR1"
"GALNS"
"ABI3BP"
"RCHY1"
"MTHFD1L"
"TMEM158"
"THUMPD3"
"NALCN"
"WFDC11"
"TAS2R39"
"TAS2R40"
"IL4I1"
"FAM98A"
"UNC50"
"TSKU"
"SUSD5"
"UBXN7"
"AUTS2"
"ANKRD17"
"GPSM1"
"PYGO1"
"TES"
"IFT172"
"FBXW8"
"FBXO8"
"ANKRD2"
"GCGR"
"LHX6"
"NR6A1"
"TIMM8B"
"PCOLCE2"
"GREM1"
"GHSR"
"RANBP6"
"GPR160"
"CNPPD1"
"NOX1"
"PPA2"
"GHITM"
"AFF4"
"FAM184B"
"DENND2A"
